iter	Passed	Remaining
280	3176	8127
281	3187	8116
282	3200	8107
283	3212	8098
284	3224	8089
285	3237	8082
286	3249	8072
287	3261	8062
288	3272	8051
289	3284	8041
290	3297	8034
291	3309	8025
292	3323	8019
293	3338	8016
294	3351	8009
295	3363	7999
296	3374	7986
297	3386	7977
298	3399	7969
299	3410	7958
300	3423	7949
301	3434	7937
302	3447	7929
303	3459	7921
304	3471	7909
305	3483	7900
306	3495	7889
307	3506	7877
308	3516	7863
309	3527	7852
310	3538	7840
311	3549	7826
312	3559	7812
313	3570	7799
314	3581	7787
315	3592	7775
316	3603	7763
317	3614	7751
318	3624	7736
319	3634	7724
320	3645	7711
321	3656	7698
322	3666	7684
323	3676	7671
324	3686	7657
325	3697	7643
326	3707	7630
327	3718	7617
328	3728	7603
329	3738	7589
330	3748	7575
331	3758	7562
332	3769	7550
333	3780	7537
334	3790	7525
335	3801	7512
336	3812	7500
337	3823	7488
338	3833	7474
339	3843	7461
340	3854	7449
341	3865	7436
342	3875	7423
343	3885	7409
344	3896	7397
345	3906	7383
346	3916	7370
347	3927	7358
348	3938	7346
349	3949	7335
350	3960	7323
351	3971	7311
352	3982	7299
353	3993	7288
354	4004	7275
355	4014	7262
356	4024	7249
357	4035	7237
358	4046	7224
359	4057	7213
360	4068	7201
361	4078	7188
362	4089	7176
363	4100	7164
364	4110	7151
365	4120	7138
366	4131	7126
367	4141	7112
368	4152	7100
369	4162	7087
370	4173	7075
371	4183	7062
372	4194	7050
373	4205	7038
374	4215	7026
375	4226	7014
376	4236	7001
377	4248	6990
378	4260	6980
379	4270	6967
380	4281	6955
381	4292	6944
382	4303	6932
383	4313	6919
384	4324	6907
385	4334	6894
386	4345	6882
387	4355	6869
388	4366	6858
389	4376	6845
390	4387	6833
391	4397	6821
392	4407	6808
393	4419	6796
394	4429	6784
395	4440	6772
396	4450	6760
397	4461	6747
398	4472	6736
399	4483	6725
400	4495	6714
401	4506	6703
402	4517	6692
403	4527	6678
404	4537	6666
405	4548	6655
406	4559	6642
407	4570	6631
408	4581	6619
409	4592	6608
410	4603	6597
411	4614	6585
412	4625	6573
413	4635	6561
414	4646	6550
415	4657	6538
416	4667	6526
417	4678	6513
418	4689	6502
419	4700	6490
420	4710	6478
421	4722	6467
422	4733	6456
423	4743	6444
424	4754	6432
425	4765	6420
426	4776	6409
427	4787	6398
428	4798	6387
429	4809	6375
430	4820	6363
431	4830	6351
432	4841	6339
433	4851	6327
434	4862	6315
435	4873	6303
436	4884	6292
437	4895	6280
438	4905	6269
439	4916	6257
440	4927	6245
441	4937	6233
442	4948	6221
443	4959	6210
444	4969	6198
445	4980	6186
446	4991	6175
447	5002	6163
448	5013	6152
449	5024	6141
450	5034	6128
451	5045	6117
452	5056	6105
453	5066	6093
454	5077	6082
455	5089	6071
456	5100	6059
457	5110	6047
458	5121	6036
459	5131	6024
460	5142	6012
461	5152	6000
462	5163	5989
463	5173	5976
464	5185	5965
465	5195	5954
466	5206	5941
467	5217	5931
468	5228	5919
469	5238	5907
470	5249	5895
471	5260	5884
472	5271	5872
473	5281	5861
474	5293	5850
475	5306	5841
476	5319	5832
477	5331	5822
478	5345	5814
479	5356	5803
480	5367	5791
481	5377	5779
482	5388	5767
483	5399	5756
484	5409	5744
485	5419	5731
486	5430	5720
487	5441	5709
488	5452	5698
489	5463	5686
490	5473	5673
491	5483	5662
492	5494	5650
493	5504	5638
494	5515	5626
495	5525	5614
496	5535	5602
497	5546	5591
498	5557	5579
499	5567	5567
500	5579	5556
501	5590	5545
502	5601	5534
503	5612	5523
504	5623	5511
505	5633	5500
506	5644	5488
507	5654	5476
508	5665	5464
509	5675	5452
510	5686	5441
511	5697	5430
512	5708	5418
513	5718	5407
514	5729	5396
515	5739	5384
516	5750	5372
517	5761	5360
518	5772	5349
519	5783	5338
520	5793	5326
521	5803	5314
522	5814	5302
523	5825	5291
524	5835	5280
525	5846	5268
526	5856	5256
527	5866	5243
528	5876	5232
529	5886	5220
530	5897	5208
531	5907	5196
532	5917	5184
533	5927	5172
534	5938	5161
535	5948	5149
536	5958	5137
537	5969	5126
538	5980	5114
539	5990	5103
540	6001	5091
541	6011	5079
542	6021	5068
543	6032	5056
544	6042	5044
545	6052	5032
546	6063	5021
547	6074	5010
548	6085	4999
549	6096	4987
550	6106	4976
551	6116	4964
552	6127	4952
553	6137	4940
554	6147	4928
555	6157	4917
556	6168	4905
557	6178	4894
558	6190	4883
559	6201	4872
560	6211	4861
561	6223	4850
562	6233	4838
563	6244	4827
564	6255	4816
565	6266	4805
566	6278	4794
567	6289	4783
568	6299	4771
569	6310	4760
570	6320	4748
571	6330	4736
572	6341	4725
573	6352	4714
574	6363	4703
575	6374	4692
576	6384	4680
577	6395	4669
578	6406	4658
579	6416	4646
580	6427	4635
581	6437	4623
582	6448	4612
583	6458	4600
584	6469	4589
585	6480	4578
586	6491	4567
587	6501	4555
588	6512	4544
589	6522	4532
590	6534	4521
591	6545	4511
592	6557	4500
593	6568	4489
594	6580	4478
595	6591	4467
596	6602	4456
597	6614	4446
598	6625	4435
599	6636	4424
600	6647	4413
601	6658	4401
602	6669	4391
603	6681	4380
604	6691	4368
605	6701	4357
606	6712	4345
607	6722	4334
608	6733	4322
609	6743	4311
610	6753	4299
611	6764	4288
612	6775	4277
613	6785	4265
614	6796	4254
615	6807	4243
616	6817	4232
617	6828	4220
618	6838	4209
619	6848	4197
620	6858	4185
621	6869	4174
622	6881	4164
623	6892	4153
624	6903	4142
625	6914	4131
626	6925	4120
627	6937	4109
628	6949	4099
629	6960	4087
630	6971	4076
631	6982	4065
632	6993	4054
633	7004	4043
634	7015	4032
635	7027	4021
636	7038	4010
637	7049	3999
638	7059	3988
639	7069	3976
640	7080	3965
641	7091	3954
642	7102	3943
643	7113	3932
644	7125	3921
645	7136	3910
646	7146	3899
647	7157	3887
648	7168	3876
649	7179	3866
650	7191	3855
651	7202	3844
652	7213	3833
653	7223	3821
654	7234	3810
655	7245	3799
656	7255	3788
657	7266	3777
658	7278	3766
659	7289	3755
660	7301	3744
661	7312	3733
662	7323	3722
663	7333	3711
664	7344	3700
665	7355	3688
666	7365	3677
667	7376	3666
668	7387	3654
669	7398	3643
670	7408	3632
671	7419	3621
672	7430	3610
673	7440	3599
674	7451	3587
675	7462	3576
676	7474	3566
677	7485	3555
678	7497	3544
679	7507	3533
680	7519	3522
681	7530	3511
682	7540	3499
683	7552	3489
684	7563	3478
685	7574	3467
686	7584	3455
687	7595	3444
688	7605	3432
689	7617	3422
690	7628	3411
691	7640	3400
692	7651	3389
693	7662	3378
694	7673	3367
695	7684	3356
696	7695	3345
697	7706	3334
698	7717	3323
699	7728	3312
700	7739	3301
701	7750	3290
702	7760	3278
703	7771	3267
704	7782	3256
705	7794	3245
706	7804	3234
707	7815	3223
708	7826	3212
709	7837	3201
710	7848	3190
711	7859	3178
712	7870	3168
713	7881	3157
714	7892	3145
715	7903	3134
716	7913	3123
717	7925	3112
718	7936	3101
719	7946	3090
720	7957	3079
721	7968	3068
722	7979	3056
723	7989	3045
724	7999	3034
725	8010	3023
726	8021	3012
727	8033	3001
728	8044	2990
729	8054	2979
730	8066	2968
731	8077	2957
732	8087	2946
733	8099	2935
734	8110	2924
735	8121	2913
736	8131	2901
737	8142	2890
738	8153	2879
739	8163	2868
740	8175	2857
741	8185	2846
742	8197	2835
743	8207	2824
744	8219	2813
745	8229	2801
746	8240	2790
747	8251	2779
748	8262	2768
749	8273	2757
750	8285	2747
751	8296	2736
752	8306	2724
753	8317	2713
754	8327	2702
755	8338	2691
756	8349	2680
757	8360	2669
758	8371	2658
759	8382	2647
760	8393	2636
761	8404	2624
762	8414	2613
763	8425	2602
764	8436	2591
765	8446	2580
766	8457	2569
767	8469	2558
768	8480	2547
769	8490	2535
770	8500	2524
771	8510	2513
772	8520	2502
773	8531	2491
774	8542	2479
775	8553	2469
776	8564	2458
777	8575	2446
778	8585	2435
779	8596	2424
780	8607	2413
781	8618	2402
782	8629	2391
783	8639	2380
784	8650	2369
785	8661	2358
786	8672	2347
787	8683	2336
788	8694	2325
789	8705	2314
790	8716	2303
791	8727	2291
792	8737	2280
793	8749	2269
794	8760	2259
795	8771	2248
796	8782	2237
797	8793	2226
798	8804	2214
799	8816	2204
800	8826	2192
801	8837	2181
802	8848	2170
803	8858	2159
804	8869	2148
805	8879	2137
806	8890	2126
807	8900	2114
808	8910	2103
809	8920	2092
810	8931	2081
811	8937	2069
812	8948	2058
813	8958	2047
814	8969	2036
815	8980	2025
816	8991	2013
817	9001	2002
818	9012	1991
819	9023	1980
820	9034	1969
821	9045	1958
822	9056	1947
823	9067	1936
824	9078	1925
825	9089	1914
826	9100	1903
827	9111	1892
828	9121	1881
829	9132	1870
830	9143	1859
831	9153	1848
832	9164	1837
833	9175	1826
834	9185	1815
835	9196	1804
836	9206	1792
837	9217	1781
838	9228	1770
839	9239	1759
840	9249	1748
841	9260	1737
842	9271	1726
843	9282	1715
844	9293	1704
845	9304	1693
846	9315	1682
847	9326	1671
848	9336	1660
849	9347	1649
850	9358	1638
851	9370	1627
852	9381	1616
853	9391	1605
854	9402	1594
855	9413	1583
856	9424	1572
857	9434	1561
858	9445	1550
859	9456	1539
860	9468	1528
861	9479	1517
862	9489	1506
863	9500	1495
864	9510	1484
865	9521	1473
866	9532	1462
867	9543	1451
868	9554	1440
869	9565	1429
870	9576	1418
871	9587	1407
872	9598	1396
873	9609	1385
874	9620	1374
875	9631	1363
876	9641	1352
877	9652	1341
878	9663	1330
879	9674	1319
880	9685	1308
881	9696	1297
882	9707	1286
883	9718	1275
884	9729	1264
885	9739	1253
886	9751	1242
887	9761	1231
888	9772	1220
889	9783	1209
890	9794	1198
891	9805	1187
892	9816	1176
893	9827	1165
894	9837	1154
895	9848	1143
896	9859	1132
897	9865	1120
898	9876	1109
899	9888	1098
900	9898	1087
901	9909	1076
902	9920	1065
903	9930	1054
904	9940	1043
905	9951	1032
906	9961	1021
907	9972	1010
908	9983	999
909	9994	988
910	10005	977
911	10016	966
912	10027	955
913	10037	944
914	10048	933
915	10059	922
916	10069	911
917	10080	900
918	10091	889
919	10101	878
920	10112	867
921	10122	856
922	10134	845
923	10145	834
924	10155	823
925	10167	812
926	10178	801
927	10188	790
928	10199	779
929	10209	768
930	10221	757
931	10231	746
932	10242	735
933	10252	724
934	10264	713
935	10275	702
936	10286	691
937	10297	680
938	10307	669
939	10318	658
940	10328	647
941	10340	636
942	10351	625
943	10362	614
944	10372	603
945	10383	592
946	10393	581
947	10403	570
948	10414	559
949	10425	548
950	10436	537
951	10446	526
952	10458	515
953	10469	504
954	10479	493
955	10490	482
956	10501	471
957	10511	460
958	10522	449
959	10532	438
960	10543	427
961	10553	416
962	10565	405
963	10575	394
964	10586	383
965	10596	372
966	10606	361
967	10617	350
968	10628	340
969	10639	329
970	10650	318
971	10660	307
972	10671	296
973	10681	285
974	10692	274
975	10702	263
976	10713	252
977	10724	241
978	10734	230
979	10744	219
980	10755	208
981	10765	197
982	10776	186
983	10786	175
984	10797	164
985	10808	153
986	10818	142
987	10829	131
988	10840	120
989	10850	109
990	10861	98
991	10872	87
992	10883	76
993	10894	65
994	10905	54
995	10916	43
996	10927	32
997	10938	21
998	10949	10
999	10960	0
