iter	MultiClass
0	4.070251897
1	4.043649392
2	4.018713731
3	3.996765421
4	3.983109532
5	3.957173109
6	3.930086468
7	3.906925668
8	3.883172123
9	3.859014417
10	3.83539579
11	3.807811169
12	3.78431986
13	3.759102999
14	3.735421323
15	3.715153607
16	3.692502715
17	3.669668194
18	3.647076912
19	3.6253004
20	3.602866324
21	3.581007159
22	3.555822991
23	3.534847007
24	3.510666026
25	3.486946023
26	3.466505565
27	3.4422062
28	3.418895317
29	3.39770926
30	3.374588993
31	3.35001975
32	3.327194714
33	3.304280498
34	3.280826951
35	3.259190465
36	3.237942852
37	3.216321847
38	3.194303087
39	3.171472727
40	3.151144193
41	3.133716283
42	3.113999894
43	3.095862105
44	3.073394789
45	3.051653429
46	3.031309463
47	3.011817482
48	2.994548849
49	2.974009974
50	2.954691553
51	2.935282766
52	2.916999859
53	2.896192649
54	2.877123777
55	2.857597669
56	2.839349335
57	2.820705976
58	2.802541844
59	2.783860874
60	2.766425276
61	2.747668546
62	2.72933218
63	2.710973762
64	2.693332069
65	2.675372271
66	2.657969667
67	2.639528598
68	2.622621166
69	2.60406563
70	2.58772484
71	2.569396212
72	2.550853921
73	2.533146602
74	2.514741001
75	2.498466744
76	2.480470535
77	2.464166995
78	2.447341947
79	2.430723962
80	2.414583535
81	2.396994617
82	2.380686465
83	2.364982036
84	2.348628031
85	2.3325464
86	2.317402919
87	2.302264548
88	2.286091791
89	2.270445504
90	2.255183556
91	2.239938404
92	2.224996864
93	2.208756049
94	2.19500903
95	2.180903835
96	2.166529894
97	2.153169679
98	2.138170547
99	2.12602859
100	2.111289384
101	2.096454059
102	2.083263163
103	2.068335813
104	2.056087758
105	2.042213294
106	2.02858579
107	2.01603154
108	2.00202518
109	1.987606585
110	1.973253539
111	1.960221133
112	1.947204742
113	1.934668561
114	1.922829278
115	1.909175355
116	1.898706893
117	1.889014433
118	1.877673633
119	1.864689305
120	1.851912672
121	1.839297325
122	1.827409784
123	1.814637692
124	1.802483169
125	1.790215054
126	1.779782586
127	1.768340902
128	1.757941803
129	1.746498032
130	1.737248466
131	1.726204857
132	1.714897979
133	1.702325013
134	1.69093485
135	1.679336189
136	1.669538272
137	1.657986049
138	1.646676077
139	1.635525853
140	1.625311988
141	1.616913962
142	1.60658523
143	1.596291496
144	1.586719496
145	1.576382906
146	1.568335636
147	1.557820364
148	1.54773084
149	1.538851419
150	1.529408294
151	1.52063334
152	1.511179534
153	1.50093753
154	1.49161558
155	1.481860891
156	1.473429168
157	1.465366772
158	1.45619374
159	1.44744902
160	1.439735954
161	1.431663509
162	1.423234126
163	1.414858718
164	1.408039454
165	1.399770306
166	1.390748415
167	1.381727915
168	1.373143933
169	1.364758701
170	1.35665508
171	1.348990918
172	1.340463209
173	1.3340888
174	1.32664265
175	1.318585385
176	1.311064024
177	1.30288411
178	1.2947166
179	1.28784225
180	1.280672938
181	1.272555386
182	1.264811315
183	1.257050549
184	1.250687952
185	1.243250316
186	1.236400527
187	1.231981308
188	1.225225369
189	1.217978663
190	1.211163504
191	1.204190156
192	1.196321967
193	1.190522557
194	1.18405392
195	1.179261851
196	1.171776238
197	1.164819911
198	1.160944872
199	1.156733234
200	1.151038777
201	1.145482802
202	1.138270028
203	1.130687122
204	1.124142788
205	1.118159356
206	1.112656215
207	1.106298937
208	1.101752576
209	1.096085733
210	1.089979761
211	1.084462108
212	1.077411022
213	1.070952079
214	1.065359663
215	1.058774831
216	1.052300117
217	1.047207014
218	1.042810819
219	1.036218455
220	1.031683138
221	1.025624268
222	1.020651479
223	1.015462476
224	1.010504925
225	1.004846152
226	1.000704999
227	0.9943540797
228	0.9883881044
229	0.9848807743
230	0.9816020989
231	0.9759725589
232	0.971027096
233	0.965873823
234	0.9606991872
235	0.9553830991
236	0.9495643141
237	0.946146188
238	0.9406256692
239	0.9351815862
240	0.9302995348
241	0.9250581557
242	0.9200611222
243	0.9160743512
244	0.911178775
245	0.9071644658
246	0.9020481412
247	0.8970712873
248	0.8923907011
249	0.8884195091
250	0.8839764286
251	0.8789338933
252	0.8740561256
253	0.86944663
254	0.8653260635
255	0.8611070401
256	0.8575581775
257	0.8527035822
258	0.847733086
259	0.8434988146
260	0.8386477265
261	0.8350156439
262	0.8310596634
263	0.8265758815
